tiling_key,verdict,evidence,source_citation,dim_IsEmptyTensor,dim_SplitAxis,dim_InputDType,dim_IsTnd,dim_IsDrop,dim_IsPse,dim_IsAttenMask,dim_S1TemplateNum,dim_S2TemplateNum,dim_DTemplateNum,dim_DeterType,dim_IsNEqual,dim_IsBn2MultiBlk,dim_IsDNoEqual,dim_IsRope,dim_OutDType,dim_IsNzOut,dim_IsTndSwizzle,dim_IsRegbase
18579548560430864,witnessed,vg_R.txt,,0,0,1,0,1,1,1,128,128,128,1,0,0,0,0,1,0,0,1
18579548560430992,witnessed,vg_R.txt,,0,0,1,1,1,1,1,128,128,128,1,0,0,0,0,1,0,0,1
18579549097299984,witnessed,vg_R.txt,,0,0,1,0,0,0,0,128,128,192,1,0,0,0,0,1,0,0,1
18579549097300112,witnessed,vg_R.txt,,0,0,1,1,0,0,0,128,128,192,1,0,0,0,0,1,0,0,1
18579549097300240,witnessed,vg_R.txt,,0,0,1,0,1,0,0,128,128,192,1,0,0,0,0,1,0,0,1
18579549097300368,witnessed,vg_R.txt,,0,0,1,1,1,0,0,128,128,192,1,0,0,0,0,1,0,0,1
18579549097300496,witnessed,vg_R.txt,,0,0,1,0,0,1,0,128,128,192,1,0,0,0,0,1,0,0,1
18579549097300624,witnessed,vg_R.txt,,0,0,1,1,0,1,0,128,128,192,1,0,0,0,0,1,0,0,1
18579549097300752,witnessed,vg_R.txt,,0,0,1,0,1,1,0,128,128,192,1,0,0,0,0,1,0,0,1
18579549097300880,witnessed,vg_R.txt,,0,0,1,1,1,1,0,128,128,192,1,0,0,0,0,1,0,0,1
18579549097301008,witnessed,vg_R.txt,,0,0,1,0,0,0,1,128,128,192,1,0,0,0,0,1,0,0,1
18579549097301136,witnessed,vg_R.txt,,0,0,1,1,0,0,1,128,128,192,1,0,0,0,0,1,0,0,1
18579549097301264,witnessed,vg_R.txt,,0,0,1,0,1,0,1,128,128,192,1,0,0,0,0,1,0,0,1
18579549097301392,witnessed,vg_R.txt,,0,0,1,1,1,0,1,128,128,192,1,0,0,0,0,1,0,0,1
18579549097301520,witnessed,vg_R.txt,,0,0,1,0,0,1,1,128,128,192,1,0,0,0,0,1,0,0,1
18579549097301648,witnessed,vg_R.txt,,0,0,1,1,0,1,1,128,128,192,1,0,0,0,0,1,0,0,1
18579549097301776,witnessed,vg_R.txt,,0,0,1,0,1,1,1,128,128,192,1,0,0,0,0,1,0,0,1
18579549097301904,witnessed,vg_R.txt,,0,0,1,1,1,1,1,128,128,192,1,0,0,0,0,1,0,0,1
18579549634170896,witnessed,vg_R.txt,,0,0,1,0,0,0,0,128,128,256,1,0,0,0,0,1,0,0,1
18579549634171024,witnessed,vg_R.txt,,0,0,1,1,0,0,0,128,128,256,1,0,0,0,0,1,0,0,1
18579549634171152,witnessed,vg_R.txt,,0,0,1,0,1,0,0,128,128,256,1,0,0,0,0,1,0,0,1
18579549634171280,witnessed,vg_R.txt,,0,0,1,1,1,0,0,128,128,256,1,0,0,0,0,1,0,0,1
18579549634171408,witnessed,vg_R.txt,,0,0,1,0,0,1,0,128,128,256,1,0,0,0,0,1,0,0,1
18579549634171536,witnessed,vg_R.txt,,0,0,1,1,0,1,0,128,128,256,1,0,0,0,0,1,0,0,1
18579549634171664,witnessed,vg_R.txt,,0,0,1,0,1,1,0,128,128,256,1,0,0,0,0,1,0,0,1
18579549634171792,witnessed,vg_R.txt,,0,0,1,1,1,1,0,128,128,256,1,0,0,0,0,1,0,0,1
18579549634171920,witnessed,vg_R.txt,,0,0,1,0,0,0,1,128,128,256,1,0,0,0,0,1,0,0,1
18579549634172048,witnessed,vg_R.txt,,0,0,1,1,0,0,1,128,128,256,1,0,0,0,0,1,0,0,1
18579549634172176,witnessed,vg_R.txt,,0,0,1,0,1,0,1,128,128,256,1,0,0,0,0,1,0,0,1
18579549634172304,witnessed,vg_R.txt,,0,0,1,1,1,0,1,128,128,256,1,0,0,0,0,1,0,0,1
18579549634172432,witnessed,vg_R.txt,,0,0,1,0,0,1,1,128,128,256,1,0,0,0,0,1,0,0,1
18579549634172560,witnessed,vg_R.txt,,0,0,1,1,0,1,1,128,128,256,1,0,0,0,0,1,0,0,1
