tiling_key,verdict,evidence,source_citation,dim_IsEmptyTensor,dim_SplitAxis,dim_InputDType,dim_IsTnd,dim_IsDrop,dim_IsPse,dim_IsAttenMask,dim_S1TemplateNum,dim_S2TemplateNum,dim_DTemplateNum,dim_DeterType,dim_IsNEqual,dim_IsBn2MultiBlk,dim_IsDNoEqual,dim_IsRope,dim_OutDType,dim_IsNzOut,dim_IsTndSwizzle,dim_IsRegbase,kernel_branches,tilingdata_fields
19325017444061472,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,0,2,0,1,0,0,128,128,128,4,1,0,1,0,2,0,0,1,,
19325017444061600,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,0,2,1,1,0,0,128,128,128,4,1,0,1,0,2,0,0,1,,
19325017444061604,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,5,2,1,1,0,0,128,128,128,4,1,0,1,0,2,0,0,1,,
19325017444061728,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,0,2,0,0,1,0,128,128,128,4,1,0,1,0,2,0,0,1,,
19325017444061856,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,0,2,1,0,1,0,128,128,128,4,1,0,1,0,2,0,0,1,,
19325017444061860,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,5,2,1,0,1,0,128,128,128,4,1,0,1,0,2,0,0,1,,
19325017444061984,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,0,2,0,1,1,0,128,128,128,4,1,0,1,0,2,0,0,1,,
19325017444062112,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,0,2,1,1,1,0,128,128,128,4,1,0,1,0,2,0,0,1,,
19325017444062116,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,5,2,1,1,1,0,128,128,128,4,1,0,1,0,2,0,0,1,,
19325017444062240,witnessed,carried,,0,0,2,0,0,0,1,128,128,128,4,1,0,1,0,2,0,0,1,,
19325017444062368,witnessed,carried,,0,0,2,1,0,0,1,128,128,128,4,1,0,1,0,2,0,0,1,,
19325017444062372,witnessed,carried,,0,5,2,1,0,0,1,128,128,128,4,1,0,1,0,2,0,0,1,,
19325017444062496,witnessed,carried,,0,0,2,0,1,0,1,128,128,128,4,1,0,1,0,2,0,0,1,,
19325017444062624,witnessed,carried,,0,0,2,1,1,0,1,128,128,128,4,1,0,1,0,2,0,0,1,,
19325017444062628,witnessed,carried,,0,5,2,1,1,0,1,128,128,128,4,1,0,1,0,2,0,0,1,,
19325017444062752,witnessed,carried,,0,0,2,0,0,1,1,128,128,128,4,1,0,1,0,2,0,0,1,,
19325017444062880,witnessed,carried,,0,0,2,1,0,1,1,128,128,128,4,1,0,1,0,2,0,0,1,,
19325017444062884,witnessed,carried,,0,5,2,1,0,1,1,128,128,128,4,1,0,1,0,2,0,0,1,,
19325017444063008,witnessed,carried,,0,0,2,0,1,1,1,128,128,128,4,1,0,1,0,2,0,0,1,,
19325017444063136,witnessed,carried,,0,0,2,1,1,1,1,128,128,128,4,1,0,1,0,2,0,0,1,,
19325017444063140,witnessed,carried,,0,5,2,1,1,1,1,128,128,128,4,1,0,1,0,2,0,0,1,,
19325017980932128,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,0,2,0,0,0,0,128,128,192,4,1,0,1,0,2,0,0,1,,
19325017980932256,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,0,2,1,0,0,0,128,128,192,4,1,0,1,0,2,0,0,1,,
19325017980932260,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,5,2,1,0,0,0,128,128,192,4,1,0,1,0,2,0,0,1,,
19325017980932384,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,0,2,0,1,0,0,128,128,192,4,1,0,1,0,2,0,0,1,,
19325017980932512,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,0,2,1,1,0,0,128,128,192,4,1,0,1,0,2,0,0,1,,
19325017980932516,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,5,2,1,1,0,0,128,128,192,4,1,0,1,0,2,0,0,1,,
19325017980932640,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,0,2,0,0,1,0,128,128,192,4,1,0,1,0,2,0,0,1,,
19325017980932768,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,0,2,1,0,1,0,128,128,192,4,1,0,1,0,2,0,0,1,,
19325017980932772,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,5,2,1,0,1,0,128,128,192,4,1,0,1,0,2,0,0,1,,
19325017980932896,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,0,2,0,1,1,0,128,128,192,4,1,0,1,0,2,0,0,1,,
19325017980933024,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,0,2,1,1,1,0,128,128,192,4,1,0,1,0,2,0,0,1,,
19325017980933028,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,5,2,1,1,1,0,128,128,192,4,1,0,1,0,2,0,0,1,,
19325017980933152,witnessed,carried,,0,0,2,0,0,0,1,128,128,192,4,1,0,1,0,2,0,0,1,,
19325017980933280,witnessed,carried,,0,0,2,1,0,0,1,128,128,192,4,1,0,1,0,2,0,0,1,,
19325017980933284,witnessed,carried,,0,5,2,1,0,0,1,128,128,192,4,1,0,1,0,2,0,0,1,,
19325017980933408,witnessed,carried,,0,0,2,0,1,0,1,128,128,192,4,1,0,1,0,2,0,0,1,,
19325017980933536,witnessed,carried,,0,0,2,1,1,0,1,128,128,192,4,1,0,1,0,2,0,0,1,,
19325017980933540,excluded,BN2S2 with drop requires d<=128 not DTpl 192,bn2S2RouteLimit: keepProb<1 requires d<=NUM128,0,5,2,1,1,0,1,128,128,192,4,1,0,1,0,2,0,0,1,,
19325017980933664,witnessed,carried,,0,0,2,0,0,1,1,128,128,192,4,1,0,1,0,2,0,0,1,,
19325017980933792,witnessed,carried,,0,0,2,1,0,1,1,128,128,192,4,1,0,1,0,2,0,0,1,,
19325017980933796,witnessed,carried,,0,5,2,1,0,1,1,128,128,192,4,1,0,1,0,2,0,0,1,,
19325017980933920,witnessed,carried,,0,0,2,0,1,1,1,128,128,192,4,1,0,1,0,2,0,0,1,,
19325017980934048,witnessed,carried,,0,0,2,1,1,1,1,128,128,192,4,1,0,1,0,2,0,0,1,,
19325017980934052,excluded,BN2S2 with drop requires d<=128 not DTpl 192,bn2S2RouteLimit: keepProb<1 requires d<=NUM128,0,5,2,1,1,1,1,128,128,192,4,1,0,1,0,2,0,0,1,,
19325018517803040,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,0,2,0,0,0,0,128,128,256,4,1,0,1,0,2,0,0,1,,
19325018517803168,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,0,2,1,0,0,0,128,128,256,4,1,0,1,0,2,0,0,1,,
19325018517803172,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,5,2,1,0,0,0,128,128,256,4,1,0,1,0,2,0,0,1,,
19325018517803296,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,0,2,0,1,0,0,128,128,256,4,1,0,1,0,2,0,0,1,,
19325018517803424,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,0,2,1,1,0,0,128,128,256,4,1,0,1,0,2,0,0,1,,
19325018517803428,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,5,2,1,1,0,0,128,128,256,4,1,0,1,0,2,0,0,1,,
19325018517803552,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,0,2,0,0,1,0,128,128,256,4,1,0,1,0,2,0,0,1,,
19325018517803680,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,0,2,1,0,1,0,128,128,256,4,1,0,1,0,2,0,0,1,,
19325018517803684,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,5,2,1,0,1,0,128,128,256,4,1,0,1,0,2,0,0,1,,
19325018517803808,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,0,2,0,1,1,0,128,128,256,4,1,0,1,0,2,0,0,1,,
19325018517803936,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,0,2,1,1,1,0,128,128,256,4,1,0,1,0,2,0,0,1,,
19325018517803940,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,5,2,1,1,1,0,128,128,256,4,1,0,1,0,2,0,0,1,,
19325018517804064,witnessed,carried,,0,0,2,0,0,0,1,128,128,256,4,1,0,1,0,2,0,0,1,,
19325018517804192,witnessed,carried,,0,0,2,1,0,0,1,128,128,256,4,1,0,1,0,2,0,0,1,,
19325018517804196,witnessed,carried,,0,5,2,1,0,0,1,128,128,256,4,1,0,1,0,2,0,0,1,,
19325018517804320,witnessed,carried,,0,0,2,0,1,0,1,128,128,256,4,1,0,1,0,2,0,0,1,,
19325018517804448,witnessed,carried,,0,0,2,1,1,0,1,128,128,256,4,1,0,1,0,2,0,0,1,,
19325018517804452,excluded,BN2S2 with drop requires d<=128 not DTpl 256,bn2S2RouteLimit: keepProb<1 requires d<=NUM128,0,5,2,1,1,0,1,128,128,256,4,1,0,1,0,2,0,0,1,,
19325018517804576,witnessed,carried,,0,0,2,0,0,1,1,128,128,256,4,1,0,1,0,2,0,0,1,,
19325018517804704,witnessed,carried,,0,0,2,1,0,1,1,128,128,256,4,1,0,1,0,2,0,0,1,,
19325018517804708,witnessed,carried,,0,5,2,1,0,1,1,128,128,256,4,1,0,1,0,2,0,0,1,,
19325018517804832,witnessed,carried,,0,0,2,0,1,1,1,128,128,256,4,1,0,1,0,2,0,0,1,,
19325018517804960,witnessed,carried,,0,0,2,1,1,1,1,128,128,256,4,1,0,1,0,2,0,0,1,,
19325018517804964,excluded,BN2S2 with drop requires d<=128 not DTpl 256,bn2S2RouteLimit: keepProb<1 requires d<=NUM128,0,5,2,1,1,1,1,128,128,256,4,1,0,1,0,2,0,0,1,,
19325019054673952,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,0,2,0,0,0,0,128,128,768,4,1,0,1,0,2,0,0,1,,
19325019054674080,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,0,2,1,0,0,0,128,128,768,4,1,0,1,0,2,0,0,1,,
19325019054674084,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,5,2,1,0,0,0,128,128,768,4,1,0,1,0,2,0,0,1,,
19325019054674208,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,0,2,0,1,0,0,128,128,768,4,1,0,1,0,2,0,0,1,,
19325019054674336,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,0,2,1,1,0,0,128,128,768,4,1,0,1,0,2,0,0,1,,
19325019054674340,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,5,2,1,1,0,0,128,128,768,4,1,0,1,0,2,0,0,1,,
19325019054674464,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,0,2,0,0,1,0,128,128,768,4,1,0,1,0,2,0,0,1,,
19325019054674592,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,0,2,1,0,1,0,128,128,768,4,1,0,1,0,2,0,0,1,,
19325019054674596,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,5,2,1,0,1,0,128,128,768,4,1,0,1,0,2,0,0,1,,
19325019054674720,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,0,2,0,1,1,0,128,128,768,4,1,0,1,0,2,0,0,1,,
19325019054674848,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,0,2,1,1,1,0,128,128,768,4,1,0,1,0,2,0,0,1,,
19325019054674852,excluded,DeterType=4 requires IsAttenMask=1,ProcessSparseModeInfo + GetTilingKey: new deter sparse needs atten mask; without mask host packs DeterType!=3/4,0,5,2,1,1,1,0,128,128,768,4,1,0,1,0,2,0,0,1,,
19325019054674976,witnessed,carried,,0,0,2,0,0,0,1,128,128,768,4,1,0,1,0,2,0,0,1,,
19325019054675104,witnessed,carried,,0,0,2,1,0,0,1,128,128,768,4,1,0,1,0,2,0,0,1,,
19325019054675108,witnessed,carried,,0,5,2,1,0,0,1,128,128,768,4,1,0,1,0,2,0,0,1,,
19325019054675232,witnessed,carried,,0,0,2,0,1,0,1,128,128,768,4,1,0,1,0,2,0,0,1,,
19325019054675360,witnessed,carried,,0,0,2,1,1,0,1,128,128,768,4,1,0,1,0,2,0,0,1,,
19325019054675364,excluded,BN2S2 with drop requires d<=128 not DTpl 768,bn2S2RouteLimit: keepProb<1 requires d<=NUM128,0,5,2,1,1,0,1,128,128,768,4,1,0,1,0,2,0,0,1,,
19325019054675488,witnessed,carried,,0,0,2,0,0,1,1,128,128,768,4,1,0,1,0,2,0,0,1,,
19325019054675616,witnessed,carried,,0,0,2,1,0,1,1,128,128,768,4,1,0,1,0,2,0,0,1,,
19325019054675620,witnessed,carried,,0,5,2,1,0,1,1,128,128,768,4,1,0,1,0,2,0,0,1,,
19325019054675744,witnessed,carried,,0,0,2,0,1,1,1,128,128,768,4,1,0,1,0,2,0,0,1,,
19325019054675872,witnessed,carried,,0,0,2,1,1,1,1,128,128,768,4,1,0,1,0,2,0,0,1,,
19325019054675876,excluded,BN2S2 with drop requires d<=128 not DTpl 768,bn2S2RouteLimit: keepProb<1 requires d<=NUM128,0,5,2,1,1,1,1,128,128,768,4,1,0,1,0,2,0,0,1,,
19351405186256930,excluded,IsBn2MultiBlk requires d==d1 so IsDNoEqual=0,isBn2MultiBlk requires (d == d1) && !hasRope; GetTilingKey packs dNoEqual=(d1!=d)||hasRope → IsBn2MultiBlk=1 ⇒ IsDNoEqual=0,0,1,2,0,0,0,0,128,128,64,0,0,1,1,0,2,0,0,1,,
19351405186257058,excluded,IsBn2MultiBlk=1 requires non-TND,isBn2MultiBlk requires layoutType != TND (bnSparseLimit),0,1,2,1,0,0,0,128,128,64,0,0,1,1,0,2,0,0,1,,
19351405186257186,excluded,IsBn2MultiBlk requires d==d1 so IsDNoEqual=0,isBn2MultiBlk requires (d == d1) && !hasRope; GetTilingKey packs dNoEqual=(d1!=d)||hasRope → IsBn2MultiBlk=1 ⇒ IsDNoEqual=0,0,1,2,0,1,0,0,128,128,64,0,0,1,1,0,2,0,0,1,,
19351405186257314,excluded,IsBn2MultiBlk=1 requires non-TND,isBn2MultiBlk requires layoutType != TND (bnSparseLimit),0,1,2,1,1,0,0,128,128,64,0,0,1,1,0,2,0,0,1,,
19351405186257442,excluded,IsBn2MultiBlk requires d==d1 so IsDNoEqual=0,isBn2MultiBlk requires (d == d1) && !hasRope; GetTilingKey packs dNoEqual=(d1!=d)||hasRope → IsBn2MultiBlk=1 ⇒ IsDNoEqual=0,0,1,2,0,0,1,0,128,128,64,0,0,1,1,0,2,0,0,1,,
