key,rules
18724685705908496,IsAttenMask=0 + DeterType=3 | InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18724685705908624,IsAttenMask=0 + DeterType=3 | InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18724685705908752,IsAttenMask=0 + DeterType=3 | InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18724685705908880,IsAttenMask=0 + DeterType=3 | InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18724685705909008,IsAttenMask=0 + DeterType=3 | InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18724685705909136,IsAttenMask=0 + DeterType=3 | InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18724685705909264,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18724685705909392,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18724685705909520,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18724685705909648,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18724685705909776,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18724685705909904,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18724685705910032,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18724685705910160,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18726882581680144,IsAttenMask=0 + DeterType=4
18726882581680272,IsAttenMask=0 + DeterType=4
18726882581680400,IsAttenMask=0 + DeterType=4
18726882581680528,IsAttenMask=0 + DeterType=4
18726882581680656,IsAttenMask=0 + DeterType=4
18726882581680784,IsAttenMask=0 + DeterType=4
18726882581680912,IsAttenMask=0 + DeterType=4
18726882581681040,IsAttenMask=0 + DeterType=4
18726883118551056,IsAttenMask=0 + DeterType=4
18726883118551184,IsAttenMask=0 + DeterType=4
18726883118551312,IsAttenMask=0 + DeterType=4
18726883118551440,IsAttenMask=0 + DeterType=4
18726883118551568,IsAttenMask=0 + DeterType=4
18726883118551696,IsAttenMask=0 + DeterType=4
18726883118551824,IsAttenMask=0 + DeterType=4
18726883118551952,IsAttenMask=0 + DeterType=4
18726883655421968,IsAttenMask=0 + DeterType=4
18726883655422096,IsAttenMask=0 + DeterType=4
18726883655422224,IsAttenMask=0 + DeterType=4
18726883655422352,IsAttenMask=0 + DeterType=4
18726883655422480,IsAttenMask=0 + DeterType=4
18726883655422608,IsAttenMask=0 + DeterType=4
18726883655422736,IsAttenMask=0 + DeterType=4
18726883655422864,IsAttenMask=0 + DeterType=4
18726884192292880,IsAttenMask=0 + DeterType=4
18726884192293008,IsAttenMask=0 + DeterType=4
18726884192293136,IsAttenMask=0 + DeterType=4
18726884192293264,IsAttenMask=0 + DeterType=4
18726884192293392,IsAttenMask=0 + DeterType=4
18726884192293520,IsAttenMask=0 + DeterType=4
18726884192293648,IsAttenMask=0 + DeterType=4
18726884192293776,IsAttenMask=0 + DeterType=4
18726884729161744,IsAttenMask=0 + DeterType=4
18726884729161872,IsAttenMask=0 + DeterType=4
18726884729162000,IsAttenMask=0 + DeterType=4
18726884729162128,IsAttenMask=0 + DeterType=4
18726884729162256,IsAttenMask=0 + DeterType=4
18726884729162384,IsAttenMask=0 + DeterType=4
18726884729162512,IsAttenMask=0 + DeterType=4
18726884729162640,IsAttenMask=0 + DeterType=4
18726884729163792,IsAttenMask=0 + DeterType=4 | InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18726884729163920,IsAttenMask=0 + DeterType=4 | InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
